Order ID,Order Date,Customer Name,Segment,Region,Country,Category,Sub-Category,Sales,Profit,Ship Mode,Data_Quality_Notes
ORD-100860,12-10-2018 00:00,Anita Sharma,Consumer,Usca,Brazil,Furniture,Tables,4560.54,192.5,Second Class,
ORD-105390,26-05-2021 00:00,Li Wei,Corporate,Asia,Brazil,Furniture,Tables,2676.23,324.19,Same Day,
ORD-105226,18-11-2018 00:00,John Doe,Home Office,Europe,Brazil,Technology,Storage,1504.12,1608.7,Second Class,
ORD-105191,23-01-2022 00:00,John Doe,Consumer,Europe,Brazil,Technology,Binders,3881.62,-369.37,First Class,
ORD-103772,21-11-2019 00:00,Ravi Kumar,Consumer,Africa,India,Office Supplies,Chairs,1565.04,1819.05,Standard Class,
ORD-103092,13-02-2022 00:00,Li Wei,Home Office,Africa,Brazil,Office Supplies,Chairs,4816.58,-496.6,First Class,
ORD-105734,30-04-2020 00:00,John Doe,Consumer,Usca,USA,Technology,Chairs,4915.03,1847.92,Standard Class,
ORD-100466,22-03-2019 00:00,Li Wei,Home Office,Europe,Germany,Technology,Storage,3335.65,636.9,First Class,
ORD-105334,02-03-2018 00:00,Maria  Gomez,Consumer,Africa,India,Technology,Storage,572.6,-244.69,Same Day,
ORD-104426,01-01-2018 00:00,Anita Sharma,Consumer,Europe,India,Technology,Binders,1319.73,1185.4,Standard Class,
ORD-105578,11-05-2021 00:00,Anita Sharma,Consumer,Asia,Brazil,Office Supplies,Chairs,2579.51,1739.64,Same Day,
ORD-103444,30-05-2019 00:00,Anita Sharma,Corporate,Africa,Brazil,Technology,Chairs,4257.98,595.18,Same Day,
ORD-103171,29-12-2020 00:00,Li Wei,Consumer,Usca,India,Furniture,Binders,928.51,1228.39,Second Class,
ORD-102919,23-05-2021 00:00,Li Wei,Consumer,Africa,Brazil,Office Supplies,Binders,526.5,1948.41,Standard Class,
ORD-100130,29-10-2018 00:00,Ravi Kumar,Home Office,Europe,Brazil,Furniture,Binders,377.02,101.75,First Class,
ORD-101685,24-05-2022 00:00,Anita Sharma,Consumer,Latam,Brazil,Technology,Tables,2537.3,1551.12,First Class,
ORD-100769,21-08-2022 00:00,Ravi Kumar,Corporate,Latam,Brazil,Furniture,Binders,4424.08,238.09,Standard Class,
ORD-102391,04-03-2023 00:00,Anita Sharma,Consumer,Europe,Brazil,Technology,Phones,216.58,565.84,Second Class,
ORD-105611,17-06-2021 00:00,Ravi Kumar,Consumer,Asia,China,Furniture,Storage,1065.55,204.41,Standard Class,
ORD-102433,12-10-2021 00:00,Ravi Kumar,Consumer,Africa,China,Office Supplies,Binders,3467.82,615.03,Same Day,
ORD-105311,12-02-2018 00:00,Maria  Gomez,Consumer,Latam,China,Furniture,Tables,4130.19,-487.28,Second Class,
ORD-105051,15-12-2021 00:00,Ravi Kumar,Consumer,Asia,India,Office Supplies,Phones,4037.96,258.6,Same Day,
ORD-101184,11-04-2019 00:00,Li Wei,Home Office,Europe,Germany,Furniture,Tables,3926.41,613.24,Standard Class,
ORD-104555,19-10-2019 00:00,Ravi Kumar,Corporate,Asia,India,Furniture,Tables,653.35,1080.6,Second Class,
ORD-103385,27-02-2018 00:00,Anita Sharma,Corporate,Europe,China,Office Supplies,Tables,1989.2,1093.4,Standard Class,
ORD-104117,03-03-2018 00:00,Ravi Kumar,Consumer,Africa,India,Office Supplies,Tables,4923.8,959.46,Standard Class,
ORD-104843,15-06-2018 00:00,John Doe,Corporate,Asia,Germany,Technology,Chairs,4944.49,232.58,Second Class,
ORD-102904,17-04-2018 00:00,,Home Office,Africa,Brazil,Office Supplies,Storage,3014.12,1868.51,Second Class,Missing customer name
ORD-100474,18-02-2023 00:00,Anita Sharma,Consumer,Asia,USA,Office Supplies,Chairs,3547.79,479.92,Standard Class,
ORD-101082,31-03-2018 00:00,John Doe,Consumer,Europe,China,Technology,Phones,4756.66,42.23,First Class,
ORD-102558,25-08-2021 00:00,Anita Sharma,Consumer,Europe,China,Office Supplies,Chairs,2252.39,886.28,Second Class,
ORD-102047,30-06-2021 00:00,Li Wei,Corporate,Asia,Germany,Office Supplies,Phones,688.65,1372.32,First Class,
ORD-102747,24-01-2019 00:00,,Corporate,Europe,Brazil,Furniture,Binders,3346.4,-469.42,First Class,Missing customer name
ORD-100975,31-07-2020 00:00,,Home Office,Usca,Brazil,Technology,Phones,4800.71,190.86,First Class,Missing customer name
ORD-101806,08-11-2021 00:00,Li Wei,Corporate,Usca,USA,Technology,Chairs,3487.54,1562.44,First Class,
ORD-100189,07-06-2021 00:00,,Consumer,Africa,Brazil,Furniture,Chairs,4017.59,767.55,Same Day,Missing customer name
ORD-102734,11-05-2023 00:00,Li Wei,Corporate,Usca,Germany,Technology,Phones,2116.63,521.22,Standard Class,
ORD-103005,26-06-2019 00:00,John Doe,Corporate,Usca,Brazil,Furniture,Chairs,486.83,1827.25,Second Class,
ORD-104658,20-05-2019 00:00,Maria  Gomez,Corporate,Latam,Germany,Office Supplies,Phones,848.57,-276.16,Standard Class,
ORD-101899,21-01-2022 00:00,Anita Sharma,Consumer,Latam,China,Technology,Tables,4913.36,1038.93,Standard Class,
ORD-101267,11-03-2020 00:00,Li Wei,Corporate,Latam,China,Office Supplies,Storage,2468.46,355.47,Standard Class,
ORD-101528,30-03-2018 00:00,Anita Sharma,Corporate,Latam,China,Technology,Phones,65.04,-322.94,Standard Class,
ORD-103202,13-01-2022 00:00,John Doe,Consumer,Europe,India,Office Supplies,Tables,4777.06,34.36,Standard Class,
ORD-103556,19-01-2020 00:00,Maria  Gomez,Corporate,Africa,China,Technology,Tables,2491.41,1069.83,Second Class,
ORD-103890,27-12-2018 00:00,John Doe,Corporate,Africa,Germany,Technology,Tables,4182.16,-429.31,Standard Class,
ORD-100646,05-11-2019 00:00,,Corporate,Usca,USA,Office Supplies,Tables,2744.55,980.62,Standard Class,Missing customer name
ORD-102888,23-10-2022 00:00,Anita Sharma,Consumer,Africa,Brazil,Furniture,Phones,513,1892.13,Standard Class,
ORD-105393,03-08-2021 00:00,Maria  Gomez,Home Office,Usca,China,Technology,Chairs,3079.77,1487.74,Same Day,
ORD-102435,12-04-2018 00:00,,Consumer,Africa,India,Furniture,Tables,4987.01,363.99,First Class,Missing customer name
ORD-100600,16-06-2021 00:00,Maria  Gomez,Consumer,Asia,India,Furniture,Binders,178.52,-154.48,Same Day,
ORD-102363,13-09-2022 00:00,,Consumer,Asia,Germany,Furniture,Tables,4209.76,662.66,Standard Class,Missing customer name
ORD-102061,16-07-2022 00:00,John Doe,Corporate,Africa,USA,Furniture,Chairs,1181.23,482.38,Same Day,
